image,count
datasets\frames_1\0\neg\BEDLUS_003_011_038.tiff,5
datasets\frames_1\0\neg\BEDLUS_003_011_039.tiff,4
datasets\frames_1\0\neg\BEDLUS_003_011_040.tiff,3
datasets\frames_1\0\neg\BEDLUS_003_011_041.tiff,4
datasets\frames_1\0\neg\BEDLUS_003_011_042.tiff,5
datasets\frames_1\0\neg\BEDLUS_003_011_043.tiff,5
datasets\frames_1\0\neg\BEDLUS_003_011_044.tiff,3
datasets\frames_1\0\neg\BEDLUS_003_011_045.tiff,5
datasets\frames_1\0\neg\BEDLUS_003_011_047.tiff,5
datasets\frames_1\0\neg\BEDLUS_003_011_048.tiff,4
datasets\frames_1\0\neg\BEDLUS_003_011_049.tiff,4
datasets\frames_1\0\neg\BEDLUS_003_011_050.tiff,2
datasets\frames_1\0\neg\BEDLUS_003_011_051.tiff,3
datasets\frames_1\0\neg\BEDLUS_003_011_052.tiff,3
datasets\frames_1\0\neg\BEDLUS_003_011_053.tiff,3
datasets\frames_1\0\neg\BEDLUS_003_011_054.tiff,4
datasets\frames_1\0\neg\BEDLUS_003_011_056.tiff,3
datasets\frames_1\0\neg\BEDLUS_003_011_057.tiff,4
datasets\frames_1\0\neg\BEDLUS_003_011_058.tiff,3
datasets\frames_1\0\neg\BEDLUS_003_011_059.tiff,4
datasets\frames_1\0\neg\BEDLUS_003_011_060.tiff,4
datasets\frames_1\0\neg\BEDLUS_003_011_061.tiff,2
datasets\frames_1\0\neg\BEDLUS_003_011_062.tiff,1
datasets\frames_1\0\neg\BEDLUS_003_011_063.tiff,7
datasets\frames_1\0\neg\BEDLUS_003_011_065.tiff,2
datasets\frames_1\0\neg\BEDLUS_003_011_066.tiff,2
datasets\frames_1\0\neg\BEDLUS_003_011_067.tiff,4
datasets\frames_1\0\neg\BEDLUS_003_011_068.tiff,2
datasets\frames_1\0\neg\BEDLUS_003_011_069.tiff,3
datasets\frames_1\0\neg\BEDLUS_003_011_070.tiff,2
datasets\frames_1\0\neg\BEDLUS_003_011_071.tiff,4
datasets\frames_1\0\neg\BEDLUS_003_011_073.tiff,3
datasets\frames_1\0\neg\BEDLUS_003_011_074.tiff,3
datasets\frames_1\0\neg\BEDLUS_003_011_075.tiff,3
datasets\frames_1\0\neg\BEDLUS_003_011_076.tiff,4
datasets\frames_1\0\neg\BEDLUS_003_011_077.tiff,2
datasets\frames_1\0\neg\BEDLUS_003_011_078.tiff,2
datasets\frames_1\0\neg\BEDLUS_003_011_079.tiff,2
datasets\frames_1\0\neg\BEDLUS_003_011_080.tiff,3
datasets\frames_1\0\neg\BEDLUS_003_011_081.tiff,4
datasets\frames_1\0\neg\BEDLUS_003_011_082.tiff,3
datasets\frames_1\0\neg\BEDLUS_003_011_083.tiff,5
datasets\frames_1\0\neg\BEDLUS_003_011_084.tiff,2
datasets\frames_1\0\neg\BEDLUS_003_011_085.tiff,5
datasets\frames_1\0\neg\BEDLUS_003_011_086.tiff,2
datasets\frames_1\0\neg\BEDLUS_003_011_087.tiff,3
datasets\frames_1\0\neg\BEDLUS_003_011_088.tiff,3
datasets\frames_1\0\neg\BEDLUS_003_011_089.tiff,5
datasets\frames_1\0\neg\BEDLUS_003_011_090.tiff,3
datasets\frames_1\0\neg\BEDLUS_003_011_091.tiff,2
datasets\frames_1\0\neg\BEDLUS_003_011_092.tiff,4
datasets\frames_1\0\neg\BEDLUS_003_011_093.tiff,3
datasets\frames_1\0\neg\BEDLUS_003_011_094.tiff,5
datasets\frames_1\0\neg\BEDLUS_003_011_095.tiff,3
datasets\frames_1\0\neg\BEDLUS_003_011_096.tiff,7
datasets\frames_1\0\neg\BEDLUS_003_011_097.tiff,3
datasets\frames_1\0\neg\BEDLUS_003_011_098.tiff,4
datasets\frames_1\0\neg\BEDLUS_003_011_099.tiff,2
datasets\frames_1\0\neg\BEDLUS_003_011_100.tiff,3
datasets\frames_1\0\neg\BEDLUS_003_011_101.tiff,2
datasets\frames_1\0\neg\BEDLUS_003_011_102.tiff,5
datasets\frames_1\0\neg\BEDLUS_003_013_000.tiff,2
datasets\frames_1\0\neg\BEDLUS_003_013_001.tiff,3
datasets\frames_1\0\neg\BEDLUS_003_013_002.tiff,2
datasets\frames_1\0\neg\BEDLUS_003_013_003.tiff,6
datasets\frames_1\0\neg\BEDLUS_003_013_004.tiff,3
datasets\frames_1\0\neg\BEDLUS_003_013_005.tiff,4
datasets\frames_1\0\neg\BEDLUS_003_013_006.tiff,4
datasets\frames_1\0\neg\BEDLUS_003_013_007.tiff,4
datasets\frames_1\0\neg\BEDLUS_003_013_008.tiff,3
datasets\frames_1\0\neg\BEDLUS_003_013_009.tiff,3
datasets\frames_1\0\neg\BEDLUS_003_013_010.tiff,5
datasets\frames_1\0\neg\BEDLUS_003_013_011.tiff,4
datasets\frames_1\0\neg\BEDLUS_003_013_012.tiff,2
datasets\frames_1\0\neg\BEDLUS_003_013_013.tiff,3
datasets\frames_1\0\neg\BEDLUS_003_013_014.tiff,4
datasets\frames_1\0\neg\BEDLUS_003_013_015.tiff,3
datasets\frames_1\0\neg\BEDLUS_003_013_016.tiff,2
datasets\frames_1\0\neg\BEDLUS_003_013_017.tiff,2
datasets\frames_1\0\neg\BEDLUS_003_013_018.tiff,2
datasets\frames_1\0\neg\BEDLUS_003_013_019.tiff,2
datasets\frames_1\0\neg\BEDLUS_003_013_020.tiff,7
datasets\frames_1\0\neg\BEDLUS_003_013_021.tiff,4
datasets\frames_1\0\neg\BEDLUS_003_013_022.tiff,3
datasets\frames_1\0\neg\BEDLUS_003_013_023.tiff,4
datasets\frames_1\0\neg\BEDLUS_003_013_024.tiff,5
datasets\frames_1\0\neg\BEDLUS_003_013_025.tiff,3
datasets\frames_1\0\neg\BEDLUS_003_013_026.tiff,4
datasets\frames_1\0\neg\BEDLUS_003_013_027.tiff,3
datasets\frames_1\0\neg\BEDLUS_003_013_028.tiff,3
datasets\frames_1\0\neg\BEDLUS_003_013_029.tiff,1
datasets\frames_1\0\neg\BEDLUS_003_013_030.tiff,6
datasets\frames_1\0\neg\BEDLUS_003_013_031.tiff,4
datasets\frames_1\0\neg\BEDLUS_003_013_032.tiff,3
datasets\frames_1\0\neg\BEDLUS_003_013_033.tiff,4
datasets\frames_1\0\neg\BEDLUS_003_013_034.tiff,5
datasets\frames_1\0\neg\BEDLUS_003_013_035.tiff,2
datasets\frames_1\0\neg\BEDLUS_003_013_036.tiff,3
datasets\frames_1\0\neg\BEDLUS_003_013_037.tiff,4
datasets\frames_1\0\neg\BEDLUS_003_013_038.tiff,3
datasets\frames_1\0\neg\BEDLUS_003_013_039.tiff,5
datasets\frames_1\0\neg\BEDLUS_003_013_040.tiff,5
datasets\frames_1\0\neg\BEDLUS_003_013_041.tiff,3
datasets\frames_1\0\neg\BEDLUS_003_013_042.tiff,1
datasets\frames_1\0\neg\BEDLUS_003_013_043.tiff,8
datasets\frames_1\0\neg\BEDLUS_003_013_044.tiff,2
datasets\frames_1\0\neg\BEDLUS_003_013_045.tiff,5
datasets\frames_1\0\neg\BEDLUS_003_013_046.tiff,1
datasets\frames_1\0\neg\BEDLUS_003_013_047.tiff,3
datasets\frames_1\0\neg\BEDLUS_003_013_048.tiff,2
datasets\frames_1\0\neg\BEDLUS_003_013_049.tiff,3
datasets\frames_1\0\neg\BEDLUS_003_013_050.tiff,4
datasets\frames_1\0\neg\BEDLUS_003_013_051.tiff,6
datasets\frames_1\0\neg\BEDLUS_003_013_052.tiff,3
datasets\frames_1\0\neg\BEDLUS_003_013_053.tiff,3
datasets\frames_1\0\neg\BEDLUS_003_013_054.tiff,1
datasets\frames_1\0\neg\BEDLUS_003_013_055.tiff,2
datasets\frames_1\0\neg\BEDLUS_003_013_057.tiff,5
datasets\frames_1\0\neg\BEDLUS_003_013_058.tiff,4
datasets\frames_1\0\neg\BEDLUS_003_013_059.tiff,5
datasets\frames_1\0\neg\BEDLUS_003_013_060.tiff,2
datasets\frames_1\0\neg\BEDLUS_003_013_061.tiff,1
datasets\frames_1\0\neg\BEDLUS_003_013_062.tiff,4
datasets\frames_1\0\neg\BEDLUS_003_013_063.tiff,8
datasets\frames_1\0\neg\BEDLUS_003_013_064.tiff,2
datasets\frames_1\0\neg\BEDLUS_003_013_065.tiff,3
datasets\frames_1\0\neg\BEDLUS_003_013_066.tiff,3
datasets\frames_1\0\neg\BEDLUS_003_013_067.tiff,2
datasets\frames_1\0\neg\BEDLUS_003_013_068.tiff,2
datasets\frames_1\0\neg\BEDLUS_003_013_070.tiff,5
datasets\frames_1\0\neg\BEDLUS_003_013_071.tiff,3
datasets\frames_1\0\neg\BEDLUS_003_013_072.tiff,3
datasets\frames_1\0\neg\BEDLUS_003_013_073.tiff,4
datasets\frames_1\0\neg\BEDLUS_003_013_074.tiff,2
datasets\frames_1\0\neg\BEDLUS_003_013_075.tiff,2
datasets\frames_1\0\neg\BEDLUS_003_013_076.tiff,6
datasets\frames_1\0\neg\BEDLUS_003_013_077.tiff,7
datasets\frames_1\0\neg\BEDLUS_003_013_078.tiff,4
datasets\frames_1\0\neg\BEDLUS_003_013_079.tiff,4
datasets\frames_1\0\neg\BEDLUS_003_013_080.tiff,5
datasets\frames_1\0\neg\BEDLUS_003_013_081.tiff,6
datasets\frames_1\0\neg\BEDLUS_003_013_082.tiff,2
datasets\frames_1\0\neg\BEDLUS_003_013_083.tiff,4
datasets\frames_1\0\neg\BEDLUS_003_013_084.tiff,1
datasets\frames_1\0\neg\BEDLUS_003_013_085.tiff,7
datasets\frames_1\0\neg\BEDLUS_003_013_086.tiff,2
datasets\frames_1\0\neg\BEDLUS_003_013_088.tiff,1
datasets\frames_1\0\neg\BEDLUS_003_013_089.tiff,1
datasets\frames_1\0\neg\BEDLUS_003_013_090.tiff,2
datasets\frames_1\0\neg\BEDLUS_003_013_091.tiff,5
datasets\frames_1\0\neg\BEDLUS_003_013_092.tiff,3
datasets\frames_1\0\neg\BEDLUS_003_013_093.tiff,4
datasets\frames_1\0\neg\BEDLUS_003_013_094.tiff,2
datasets\frames_1\0\neg\BEDLUS_003_013_095.tiff,2
datasets\frames_1\0\neg\BEDLUS_003_013_096.tiff,3
datasets\frames_1\0\neg\BEDLUS_003_013_097.tiff,4
datasets\frames_1\0\neg\BEDLUS_003_013_098.tiff,4
datasets\frames_1\0\neg\BEDLUS_003_013_099.tiff,5
datasets\frames_1\0\neg\BEDLUS_003_013_100.tiff,3
datasets\frames_1\0\neg\BEDLUS_003_013_101.tiff,3
datasets\frames_1\0\neg\BEDLUS_003_013_102.tiff,2
datasets\frames_1\0\neg\BEDLUS_003_014_000.tiff,2
datasets\frames_1\0\neg\BEDLUS_003_014_001.tiff,5
datasets\frames_1\0\neg\BEDLUS_003_014_002.tiff,5
datasets\frames_1\0\neg\BEDLUS_003_014_003.tiff,1
datasets\frames_1\0\neg\BEDLUS_003_014_004.tiff,4
datasets\frames_1\0\neg\BEDLUS_003_014_005.tiff,3
datasets\frames_1\0\neg\BEDLUS_003_014_006.tiff,1
datasets\frames_1\0\neg\BEDLUS_003_014_007.tiff,3
datasets\frames_1\0\neg\BEDLUS_003_014_008.tiff,3
datasets\frames_1\0\neg\BEDLUS_003_014_010.tiff,2
datasets\frames_1\0\neg\BEDLUS_003_014_011.tiff,3
datasets\frames_1\0\neg\BEDLUS_003_014_012.tiff,1
datasets\frames_1\0\neg\BEDLUS_003_014_013.tiff,8
datasets\frames_1\0\neg\BEDLUS_003_014_014.tiff,5
datasets\frames_1\0\neg\BEDLUS_003_014_015.tiff,2
datasets\frames_1\0\neg\BEDLUS_003_014_016.tiff,2
datasets\frames_1\0\neg\BEDLUS_003_014_017.tiff,1
datasets\frames_1\0\neg\BEDLUS_003_014_018.tiff,5
datasets\frames_1\0\neg\BEDLUS_003_014_019.tiff,4
datasets\frames_1\0\neg\BEDLUS_003_014_020.tiff,4
datasets\frames_1\0\neg\BEDLUS_003_014_021.tiff,2
datasets\frames_1\0\neg\BEDLUS_003_014_022.tiff,3
datasets\frames_1\0\neg\BEDLUS_003_014_023.tiff,3
datasets\frames_1\0\neg\BEDLUS_003_014_024.tiff,3
datasets\frames_1\0\neg\BEDLUS_003_014_025.tiff,3
datasets\frames_1\0\neg\BEDLUS_003_014_026.tiff,1
datasets\frames_1\0\neg\BEDLUS_003_014_027.tiff,1
datasets\frames_1\0\neg\BEDLUS_003_014_028.tiff,4
datasets\frames_1\0\neg\BEDLUS_003_014_029.tiff,2
datasets\frames_1\0\neg\BEDLUS_003_014_030.tiff,3
datasets\frames_1\0\neg\BEDLUS_003_014_031.tiff,4
datasets\frames_1\0\neg\BEDLUS_003_014_033.tiff,2
datasets\frames_1\0\neg\BEDLUS_003_014_034.tiff,2
datasets\frames_1\0\neg\BEDLUS_003_014_035.tiff,4
datasets\frames_1\0\neg\BEDLUS_003_014_036.tiff,2
datasets\frames_1\0\neg\BEDLUS_003_014_037.tiff,4
datasets\frames_1\0\neg\BEDLUS_003_014_038.tiff,4
datasets\frames_1\0\neg\BEDLUS_003_014_039.tiff,2
datasets\frames_1\0\neg\BEDLUS_003_014_040.tiff,4
datasets\frames_1\0\neg\BEDLUS_003_014_041.tiff,3
datasets\frames_1\0\neg\BEDLUS_003_014_042.tiff,4
datasets\frames_1\0\neg\BEDLUS_003_014_043.tiff,3
datasets\frames_1\0\neg\BEDLUS_003_014_045.tiff,3
datasets\frames_1\0\neg\BEDLUS_003_014_046.tiff,2
datasets\frames_1\0\neg\BEDLUS_003_014_047.tiff,2
datasets\frames_1\0\neg\BEDLUS_003_014_048.tiff,3
datasets\frames_1\0\neg\BEDLUS_003_014_049.tiff,2
datasets\frames_1\0\neg\BEDLUS_003_014_050.tiff,4
datasets\frames_1\0\neg\BEDLUS_003_014_051.tiff,4
datasets\frames_1\0\neg\BEDLUS_003_014_052.tiff,3
datasets\frames_1\0\neg\BEDLUS_003_014_053.tiff,4
datasets\frames_1\0\neg\BEDLUS_003_014_054.tiff,1
datasets\frames_1\0\neg\BEDLUS_003_014_055.tiff,4
datasets\frames_1\0\neg\BEDLUS_003_014_056.tiff,2
datasets\frames_1\0\neg\BEDLUS_003_014_058.tiff,2
datasets\frames_1\0\neg\BEDLUS_003_014_059.tiff,3
datasets\frames_1\0\neg\BEDLUS_003_014_060.tiff,4
datasets\frames_1\0\neg\BEDLUS_003_014_061.tiff,2
datasets\frames_1\0\neg\BEDLUS_003_014_062.tiff,5
datasets\frames_1\0\neg\BEDLUS_003_014_063.tiff,1
datasets\frames_1\0\neg\BEDLUS_003_014_064.tiff,4
datasets\frames_1\0\neg\BEDLUS_003_014_065.tiff,1
datasets\frames_1\0\neg\BEDLUS_003_014_066.tiff,3
datasets\frames_1\0\neg\BEDLUS_003_014_067.tiff,3
datasets\frames_1\0\neg\BEDLUS_003_014_068.tiff,4
datasets\frames_1\0\neg\BEDLUS_003_014_069.tiff,1
datasets\frames_1\0\neg\BEDLUS_003_014_070.tiff,1
datasets\frames_1\0\neg\BEDLUS_003_014_071.tiff,3
datasets\frames_1\0\neg\BEDLUS_003_014_072.tiff,1
datasets\frames_1\0\neg\BEDLUS_003_014_073.tiff,2
datasets\frames_1\0\neg\BEDLUS_003_014_074.tiff,5
datasets\frames_1\0\neg\BEDLUS_003_014_075.tiff,1
datasets\frames_1\0\neg\BEDLUS_003_014_076.tiff,2
datasets\frames_1\0\neg\BEDLUS_003_014_077.tiff,2
datasets\frames_1\0\neg\BEDLUS_003_014_078.tiff,4
datasets\frames_1\0\neg\BEDLUS_003_014_079.tiff,3
datasets\frames_1\0\neg\BEDLUS_003_014_080.tiff,5
datasets\frames_1\0\neg\BEDLUS_003_014_081.tiff,5
datasets\frames_1\0\neg\BEDLUS_003_014_083.tiff,6
datasets\frames_1\0\neg\BEDLUS_003_014_084.tiff,4
datasets\frames_1\0\neg\BEDLUS_003_014_085.tiff,5
datasets\frames_1\0\neg\BEDLUS_003_014_086.tiff,3
datasets\frames_1\0\neg\BEDLUS_003_014_087.tiff,4
datasets\frames_1\0\neg\BEDLUS_003_014_089.tiff,6
datasets\frames_1\0\neg\BEDLUS_003_014_090.tiff,4
datasets\frames_1\0\neg\BEDLUS_003_014_092.tiff,4
datasets\frames_1\0\neg\BEDLUS_003_014_093.tiff,2
datasets\frames_1\0\neg\BEDLUS_003_014_094.tiff,4
datasets\frames_1\0\neg\BEDLUS_003_014_095.tiff,3
datasets\frames_1\0\neg\BEDLUS_003_014_096.tiff,4
datasets\frames_1\0\neg\BEDLUS_003_014_097.tiff,3
datasets\frames_1\0\neg\BEDLUS_003_014_098.tiff,2
datasets\frames_1\0\neg\BEDLUS_003_014_099.tiff,2
datasets\frames_1\0\neg\BEDLUS_003_014_100.tiff,3
datasets\frames_1\0\neg\BEDLUS_003_014_101.tiff,4
datasets\frames_1\0\neg\BEDLUS_003_014_102.tiff,1
datasets\frames_1\0\neg\BEDLUS_003_015_000.tiff,1
datasets\frames_1\0\neg\BEDLUS_003_015_001.tiff,2
datasets\frames_1\0\neg\BEDLUS_003_015_002.tiff,2
datasets\frames_1\0\neg\BEDLUS_003_015_003.tiff,2
datasets\frames_1\0\neg\BEDLUS_003_015_004.tiff,1
datasets\frames_1\0\neg\BEDLUS_003_015_005.tiff,3
datasets\frames_1\0\neg\BEDLUS_003_015_006.tiff,2
datasets\frames_1\0\neg\BEDLUS_003_015_007.tiff,1
datasets\frames_1\0\neg\BEDLUS_003_015_008.tiff,2
datasets\frames_1\0\neg\BEDLUS_003_015_009.tiff,3
datasets\frames_1\0\neg\BEDLUS_003_015_010.tiff,1
datasets\frames_1\0\neg\BEDLUS_003_015_011.tiff,3
datasets\frames_1\0\neg\BEDLUS_003_015_012.tiff,1
datasets\frames_1\0\neg\BEDLUS_003_015_013.tiff,2
datasets\frames_1\0\neg\BEDLUS_003_015_014.tiff,3
datasets\frames_1\0\neg\BEDLUS_003_015_015.tiff,5
datasets\frames_1\0\neg\BEDLUS_003_015_016.tiff,4
datasets\frames_1\0\neg\BEDLUS_003_015_017.tiff,7
datasets\frames_1\0\neg\BEDLUS_003_015_018.tiff,3
datasets\frames_1\0\neg\BEDLUS_003_015_019.tiff,2
datasets\frames_1\0\neg\BEDLUS_003_015_020.tiff,4
datasets\frames_1\0\neg\BEDLUS_003_015_021.tiff,1
datasets\frames_1\0\neg\BEDLUS_003_015_022.tiff,6
datasets\frames_1\0\neg\BEDLUS_003_015_023.tiff,2
datasets\frames_1\0\neg\BEDLUS_003_015_024.tiff,4
datasets\frames_1\0\neg\BEDLUS_003_015_025.tiff,3
datasets\frames_1\0\neg\BEDLUS_003_015_026.tiff,2
datasets\frames_1\0\neg\BEDLUS_003_015_027.tiff,3
datasets\frames_1\0\neg\BEDLUS_003_015_029.tiff,2
datasets\frames_1\0\neg\BEDLUS_003_015_031.tiff,5
datasets\frames_1\0\neg\BEDLUS_003_015_032.tiff,3
datasets\frames_1\0\neg\BEDLUS_003_015_033.tiff,2
datasets\frames_1\0\neg\BEDLUS_003_015_034.tiff,1
datasets\frames_1\0\neg\BEDLUS_003_015_035.tiff,1
datasets\frames_1\0\neg\BEDLUS_003_015_036.tiff,6
datasets\frames_1\0\neg\BEDLUS_003_015_037.tiff,3
datasets\frames_1\0\neg\BEDLUS_003_015_038.tiff,5
datasets\frames_1\0\neg\BEDLUS_003_015_039.tiff,2
datasets\frames_1\0\neg\BEDLUS_003_015_040.tiff,2
datasets\frames_1\0\neg\BEDLUS_003_015_041.tiff,2
datasets\frames_1\0\neg\BEDLUS_003_015_042.tiff,1
datasets\frames_1\0\neg\BEDLUS_003_015_043.tiff,1
datasets\frames_1\0\neg\BEDLUS_003_015_044.tiff,2
datasets\frames_1\0\neg\BEDLUS_003_015_045.tiff,3
datasets\frames_1\0\neg\BEDLUS_003_015_046.tiff,7
datasets\frames_1\0\neg\BEDLUS_003_015_048.tiff,2
datasets\frames_1\0\neg\BEDLUS_003_015_049.tiff,3
datasets\frames_1\0\neg\BEDLUS_003_015_050.tiff,4
datasets\frames_1\0\neg\BEDLUS_003_015_051.tiff,2
datasets\frames_1\0\neg\BEDLUS_003_015_052.tiff,7
datasets\frames_1\0\neg\BEDLUS_003_015_053.tiff,3
datasets\frames_1\0\neg\BEDLUS_003_015_054.tiff,3
datasets\frames_1\0\neg\BEDLUS_003_015_055.tiff,4
datasets\frames_1\0\neg\BEDLUS_003_015_056.tiff,4
datasets\frames_1\0\neg\BEDLUS_003_015_057.tiff,1
datasets\frames_1\0\neg\BEDLUS_003_015_058.tiff,7
datasets\frames_1\0\neg\BEDLUS_003_015_059.tiff,4
datasets\frames_1\0\neg\BEDLUS_003_015_060.tiff,4
datasets\frames_1\0\neg\BEDLUS_003_015_061.tiff,3
datasets\frames_1\0\neg\BEDLUS_003_015_062.tiff,4
datasets\frames_1\0\neg\BEDLUS_003_015_063.tiff,1
datasets\frames_1\0\neg\BEDLUS_003_015_064.tiff,1
datasets\frames_1\0\neg\BEDLUS_003_015_065.tiff,4
datasets\frames_1\0\neg\BEDLUS_003_015_066.tiff,1
datasets\frames_1\0\neg\BEDLUS_003_015_067.tiff,5
datasets\frames_1\0\neg\BEDLUS_003_015_068.tiff,3
datasets\frames_1\0\neg\BEDLUS_003_015_069.tiff,4
datasets\frames_1\0\neg\BEDLUS_003_015_070.tiff,3
datasets\frames_1\0\neg\BEDLUS_003_015_071.tiff,4
datasets\frames_1\0\neg\BEDLUS_003_015_072.tiff,2
datasets\frames_1\0\neg\BEDLUS_003_015_073.tiff,2
datasets\frames_1\0\neg\BEDLUS_003_015_074.tiff,3
datasets\frames_1\0\neg\BEDLUS_003_015_076.tiff,1
datasets\frames_1\0\neg\BEDLUS_003_015_077.tiff,3
datasets\frames_1\0\neg\BEDLUS_003_015_078.tiff,3
datasets\frames_1\0\neg\BEDLUS_003_015_079.tiff,3
datasets\frames_1\0\neg\BEDLUS_003_015_081.tiff,1
datasets\frames_1\0\neg\BEDLUS_003_015_082.tiff,1
datasets\frames_1\0\neg\BEDLUS_003_015_083.tiff,2
datasets\frames_1\0\neg\BEDLUS_003_015_084.tiff,4
datasets\frames_1\0\neg\BEDLUS_003_015_085.tiff,1
datasets\frames_1\0\neg\BEDLUS_003_015_086.tiff,2
datasets\frames_1\0\neg\BEDLUS_003_015_088.tiff,8
datasets\frames_1\0\neg\BEDLUS_003_015_089.tiff,3
datasets\frames_1\0\neg\BEDLUS_003_015_090.tiff,4
datasets\frames_1\0\neg\BEDLUS_003_015_091.tiff,3
datasets\frames_1\0\neg\BEDLUS_003_015_092.tiff,1
datasets\frames_1\0\neg\BEDLUS_003_015_093.tiff,6
datasets\frames_1\0\neg\BEDLUS_003_015_094.tiff,3
datasets\frames_1\0\neg\BEDLUS_003_015_095.tiff,2
datasets\frames_1\0\neg\BEDLUS_003_015_096.tiff,4
datasets\frames_1\0\neg\BEDLUS_003_015_097.tiff,1
datasets\frames_1\0\neg\BEDLUS_003_015_098.tiff,2
datasets\frames_1\0\neg\BEDLUS_003_015_099.tiff,5
datasets\frames_1\0\neg\BEDLUS_003_015_100.tiff,6
datasets\frames_1\0\neg\BEDLUS_003_015_101.tiff,3
datasets\frames_1\0\neg\BEDLUS_003_016_000.tiff,3
datasets\frames_1\0\neg\BEDLUS_003_016_001.tiff,2
datasets\frames_1\0\neg\BEDLUS_003_016_002.tiff,4
datasets\frames_1\0\neg\BEDLUS_003_016_003.tiff,4
datasets\frames_1\0\neg\BEDLUS_003_016_004.tiff,7
datasets\frames_1\0\neg\BEDLUS_003_016_005.tiff,4
datasets\frames_1\0\neg\BEDLUS_003_016_006.tiff,2
datasets\frames_1\0\neg\BEDLUS_003_016_007.tiff,3
datasets\frames_1\0\neg\BEDLUS_003_016_008.tiff,5
datasets\frames_1\0\neg\BEDLUS_003_016_009.tiff,3
datasets\frames_1\0\neg\BEDLUS_003_016_010.tiff,1
datasets\frames_1\0\neg\BEDLUS_003_016_011.tiff,2
datasets\frames_1\0\neg\BEDLUS_003_016_012.tiff,5
datasets\frames_1\0\neg\BEDLUS_003_016_013.tiff,3
datasets\frames_1\0\neg\BEDLUS_003_016_014.tiff,4
datasets\frames_1\0\neg\BEDLUS_003_016_015.tiff,2
datasets\frames_1\0\neg\BEDLUS_003_016_016.tiff,2
datasets\frames_1\0\neg\BEDLUS_003_016_017.tiff,5
datasets\frames_1\0\neg\BEDLUS_003_016_018.tiff,5
datasets\frames_1\0\neg\BEDLUS_003_016_019.tiff,2
datasets\frames_1\0\neg\BEDLUS_003_016_020.tiff,3
datasets\frames_1\0\neg\BEDLUS_003_016_021.tiff,3
datasets\frames_1\0\neg\BEDLUS_003_016_022.tiff,5
datasets\frames_1\0\neg\BEDLUS_003_016_024.tiff,4
datasets\frames_1\0\neg\BEDLUS_003_016_025.tiff,3
datasets\frames_1\0\neg\BEDLUS_003_016_026.tiff,4
datasets\frames_1\0\neg\BEDLUS_003_016_027.tiff,6
datasets\frames_1\0\neg\BEDLUS_003_016_028.tiff,5
datasets\frames_1\0\neg\BEDLUS_003_016_029.tiff,1
datasets\frames_1\0\neg\BEDLUS_003_016_030.tiff,5
datasets\frames_1\0\neg\BEDLUS_003_016_031.tiff,6
datasets\frames_1\0\neg\BEDLUS_003_016_032.tiff,3
datasets\frames_1\0\neg\BEDLUS_003_016_033.tiff,2
